views,date
289.368193,2016-07-11T00:00:00Z
286.603707,2016-07-12T00:00:00Z
275.00358,2016-07-13T00:00:00Z
270.313094,2016-07-14T00:00:00Z
263.881614,2016-07-15T00:00:00Z
261.979848,2016-07-16T00:00:00Z
268.093896,2016-07-17T00:00:00Z
280.404156,2016-07-18T00:00:00Z
282.429274,2016-07-19T00:00:00Z
292.991824,2016-07-20T00:00:00Z
306.587526,2016-07-21T00:00:00Z
311.051676,2016-07-22T00:00:00Z
305.499818,2016-07-23T00:00:00Z
319.530649,2016-07-24T00:00:00Z
329.881309,2016-07-25T00:00:00Z
337.267802,2016-07-26T00:00:00Z
328.790943,2016-07-27T00:00:00Z
325.162591,2016-07-28T00:00:00Z
322.73303,2016-07-29T00:00:00Z
316.203193,2016-07-30T00:00:00Z
321.219877,2016-07-31T00:00:00Z
332.73655,2016-08-01T00:00:00Z
323.190992,2016-08-02T00:00:00Z
306.43444,2016-08-03T00:00:00Z
296.70731,2016-08-04T00:00:00Z
297.56861,2016-08-05T00:00:00Z
310.393754,2016-08-06T00:00:00Z
317.85228,2016-08-07T00:00:00Z
341.344116,2016-08-08T00:00:00Z
325.592474,2016-08-09T00:00:00Z
326.466019,2016-08-10T00:00:00Z
320.306951,2016-08-11T00:00:00Z
311.379554,2016-08-12T00:00:00Z
309.450745,2016-08-13T00:00:00Z
317.17336,2016-08-14T00:00:00Z
333.059769,2016-08-15T00:00:00Z
311.183087,2016-08-16T00:00:00Z
276.748171,2016-08-17T00:00:00Z
279.82941,2016-08-18T00:00:00Z
282.441865,2016-08-19T00:00:00Z
285.877197,2016-08-20T00:00:00Z
310.732764,2016-08-21T00:00:00Z
310.493445,2016-08-22T00:00:00Z
314.282469,2016-08-23T00:00:00Z
298.236009,2016-08-24T00:00:00Z
299.722758,2016-08-25T00:00:00Z
293.096971,2016-08-26T00:00:00Z
292.16261,2016-08-27T00:00:00Z
296.352369,2016-08-28T00:00:00Z
316.610514,2016-08-29T00:00:00Z
312.374286,2016-08-30T00:00:00Z
311.862414,2016-08-31T00:00:00Z
307.751547,2016-09-01T00:00:00Z
299.11375,2016-09-02T00:00:00Z
301.475108,2016-09-03T00:00:00Z
302.680649,2016-09-04T00:00:00Z
314.968361,2016-09-05T00:00:00Z
